"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"5598","ILMN_2414826",0.434084148967213,-0.0287613001435644,6.4421101329488,8.15415413587571e-10,3.08596838134251e-08,11.9260697090045,"VPS13A","vacuolar protein sorting 13 homolog A"
"2766","ILMN_1757106",0.562822645970004,0.0518316251039604,6.4407070338114,8.21715387563062e-10,3.10732101441081e-08,11.9186111590649,"MARCHF6","membrane associated ring-CH-type finger 6"
"4778","ILMN_2179652",-0.411098344876526,0.00318146003465347,-6.44055030124006,8.22422085467424e-10,3.10750540149695e-08,11.9177780716646,"PRELID1","PRELI domain containing 1"
"16","ILMN_1651719",0.238073245417859,-0.00379999796039604,6.43829275299248,8.32667719592026e-10,3.14370336243413e-08,11.9057799139853,"MBTPS1","membrane bound transcription factor peptidase, site 1"
"401","ILMN_1664094",-0.487883073824207,-0.0353909791732673,-6.43445485277805,8.50374124219789e-10,3.20798883874e-08,11.8853890638744,"P2RY13","purinergic receptor P2Y13"
"5523","ILMN_2401730",-0.439853750655738,-0.0418346462277228,-6.43297961619092,8.57278190426363e-10,3.23145300973883e-08,11.8775532374892,"C1GALT1C1","C1GALT1 specific chaperone 1"
"5589","ILMN_2413331",0.962492817957099,0.0668355411683168,6.4317388136845,8.63127720874579e-10,3.25090792540887e-08,11.8709635447192,"TMEM107","transmembrane protein 107"
"2995","ILMN_1766195",0.503447610659226,-0.0339732985940594,6.42794713176837,8.81246931866221e-10,3.31650787561542e-08,11.8508317727086,"ZNF558","zinc finger protein 558"
"6253","ILMN_3307700",-0.412060647660621,0.00284718792574258,-6.42665561887869,8.87503551541021e-10,3.33739492379251e-08,11.8439763341049,"SPCS3","signal peptidase complex subunit 3"
"2232","ILMN_1735658",0.428935435216603,-0.0146576422722772,6.42396331359008,9.00686802807771e-10,3.37655480827097e-08,11.8296883253934,"RTTN","rotatin"
"2294","ILMN_1738326",-0.270078632801884,-0.00987105551980198,-6.4239450609416,9.0077683267799e-10,3.37655480827097e-08,11.82959147249,"EIF4E2","eukaryotic translation initiation factor 4E family member 2"
"3202","ILMN_1775085",-0.468890376820021,0.0080235704009901,-6.42428055424087,8.99123447297823e-10,3.37655480827097e-08,11.8313717090044,"ZNF232","zinc finger protein 232"
"3627","ILMN_1793118",-0.245699606777468,0.0164330597574257,-6.42409851016669,9.00020230596649e-10,3.37655480827097e-08,11.8304057163263,"TAX1BP1","Tax1 binding protein 1"
"5920","ILMN_3241139",0.60870777055075,0.00292691224257426,6.42335799903025,9.03677192155422e-10,3.38474048078452e-08,11.8264764792312,"SNORD57","small nucleolar RNA, C/D box 57"
"536","ILMN_1668721",-0.280062804219393,-0.0186891536039604,-6.42315709617788,9.04671851091459e-10,3.38578099832811e-08,11.8254105173545,"CCND3","cyclin D3"
"5334","ILMN_2369924",-0.393513063625393,-0.00695077738613861,-6.42093531599107,9.15743723408307e-10,3.42450449725239e-08,11.8136235408421,"NDUFB6","NADH:ubiquinone oxidoreductase subunit B6"
"3760","ILMN_1798557",0.892723343772934,0.0278191679554455,6.41915874279344,9.24692650135713e-10,3.45523406317721e-08,11.8042004174655,NA,NA
"656","ILMN_1672606",-1.16377306318591,0.190499068490099,-6.41885723288266,9.2621991377009e-10,3.45641504443066e-08,11.8026013499598,"OAS1","2'-5'-oligoadenylate synthetase 1"
"1413","ILMN_1701613",-0.53693166100593,0.0422542804257426,-6.41880744895896,9.26472326702636e-10,3.45641504443066e-08,11.8023373241064,"PLAAT4","phospholipase A and acyltransferase 4"
"1093","ILMN_1689655",-0.391794961094873,-0.0185887150792079,-6.41856987649822,9.27677790198195e-10,3.45818071893062e-08,11.8010773924495,"HLA-DRA","major histocompatibility complex, class II, DR alpha"
"2068","ILMN_1728626",0.432970215915592,0.00491743077722772,6.4183691751049,9.28697367074453e-10,3.45925121011778e-08,11.8000130253154,"WDR5","WD repeat domain 5"
"1521","ILMN_1706094",0.229108534111615,-0.00832965613366337,6.41529343823884,9.44460700648807e-10,3.51327597961116e-08,11.7837044214622,"HECTD1","HECT domain E3 ubiquitin protein ligase 1"
